ticker,sector,year,month,quarter,month_name,year_month,open_price,close_price,high_price,low_price,avg_close,total_volume,avg_volume,monthly_return,avg_daily_return,monthly_volatility,avg_volatility,max_drawdown,end_rsi,avg_rsi,end_ma50,end_ma200,golden_cross,trading_days,mom_pct_change
PFE,Healthcare,2021,1,1,Jan,2021-01,27.9526,27.5133,28.6804,27.2987,27.9295,689094500,36268131.5789,-1.3155,-0.0692,1.1121,1.5698,-14.8496,39.35,42.3626,28.62,26.63,1,19,-1.4112
PFE,Healthcare,2021,2,1,Feb,2021-02,27.5363,25.6663,27.7355,25.5667,26.498,665243900,35012836.8421,-6.891,-0.3627,0.8698,0.9881,-20.4551,24.91,26.6989,27.48,26.67,1,19,-6.7131
PFE,Healthcare,2021,3,1,Mar,2021-03,25.7429,27.7662,28.157,25.628,26.9815,675588700,29373421.7391,7.9927,0.3475,0.9987,0.9383,-20.4076,67.19,60.1787,26.92,26.81,1,23,8.1815
PFE,Healthcare,2021,4,2,Apr,2021-04,27.8198,29.6208,30.4026,27.406,28.9238,558679000,26603761.9048,6.5766,0.3132,1.047,0.9885,-14.7071,69.35,71.0124,27.68,27.36,1,21,6.6796
PFE,Healthcare,2021,5,2,May,2021-05,29.9197,29.9746,31.4908,29.3787,30.643,615262500,30763125.0,1.2847,0.0642,0.9957,1.0778,-7.2946,34.08,61.421,29.36,27.73,1,20,1.1944
PFE,Healthcare,2021,6,2,Jun,2021-06,30.1372,30.3074,31.5148,29.7811,30.4063,485677900,22076268.1818,1.2276,0.0558,0.9976,0.9872,-7.6543,31.73,46.3545,30.39,28.14,1,22,1.1102
PFE,Healthcare,2021,7,3,Jul,2021-07,30.3152,33.4324,33.8521,30.1294,31.536,525510400,25024304.7619,9.9252,0.4726,0.9839,0.9802,-5.8554,86.86,68.111,30.89,28.72,1,21,10.3109
PFE,Healthcare,2021,8,3,Aug,2021-08,33.8151,35.9783,40.5,33.776,36.9158,1008466500,45839386.3636,7.9215,0.3601,2.0718,1.6449,-8.6275,48.93,73.0959,33.73,29.87,1,22,7.615
PFE,Healthcare,2021,9,3,Sep,2021-09,36.072,33.5886,37.095,33.1356,34.9705,544666400,25936495.2381,-6.778,-0.3228,1.146,1.7942,-14.6966,24.71,25.6838,35.53,30.46,1,21,-6.6421
PFE,Healthcare,2021,10,4,Oct,2021-10,33.2059,34.1587,34.229,31.972,33.1791,471555700,22455033.3333,1.7814,0.0848,0.9503,0.9417,-18.0484,67.28,39.7529,34.58,30.98,1,21,1.6973
PFE,Healthcare,2021,11,4,Nov,2021-11,34.471,42.3286,43.8806,33.6198,38.8422,1010245500,48106928.5714,22.5227,1.0725,2.6946,2.2114,-13.4471,75.46,75.2395,35.7,32.2,1,21,23.9177
PFE,Healthcare,2021,12,4,Dec,2021-12,41.336,46.5198,48.6153,39.7053,44.4819,1064029400,48364972.7273,10.2333,0.4651,2.6707,2.8676,-5.9986,66.61,63.55,40.61,34.18,1,22,9.9014
PFE,Healthcare,2022,1,1,Jan,2022-01,46.0865,41.8249,46.1259,39.2483,42.9601,778212000,38910600.0,-10.2327,-0.5116,1.9648,2.5475,-15.8531,36.28,37.9395,43.3,35.69,1,20,-10.0921
PFE,Healthcare,2022,2,1,Feb,2022-02,41.8646,37.2606,42.968,36.0382,39.8062,634804800,33410778.9474,-11.3078,-0.5951,1.6283,1.6678,-24.3928,19.11,31.1232,42.57,36.61,1,19,-10.9129
PFE,Healthcare,2022,3,1,Mar,2022-03,37.0622,41.0947,43.8967,36.0699,40.5428,718106000,31222000.0,10.1882,0.443,1.9425,1.9194,-24.7382,58.12,59.9357,40.48,37.76,1,23,10.2898
PFE,Healthcare,2022,4,2,Apr,2022-04,41.3725,38.9514,44.7064,37.4035,40.7422,482896600,24144830.0,-4.976,-0.2488,1.7163,1.8445,-20.823,22.02,42.437,40.22,38.78,1,20,-5.2154
PFE,Healthcare,2022,5,2,May,2022-05,37.848,42.4461,43.9506,37.6734,40.6217,583220400,27772400.0,8.8474,0.4213,1.694,1.7964,-20.4775,72.57,56.0638,40.9,39.47,1,21,8.972
PFE,Healthcare,2022,6,2,Jun,2022-06,42.6142,41.958,43.6625,37.0363,40.5396,449186100,21389814.2857,-0.6633,-0.0316,2.0284,1.7761,-22.8309,52.2,44.7352,40.35,39.85,1,21,-1.1501
PFE,Healthcare,2022,7,3,Jul,2022-07,41.6458,40.7351,43.1503,39.598,41.4728,340227500,17011375.0,-2.8354,-0.1418,1.6144,1.8954,-15.8321,35.61,54.5975,41.21,40.62,1,20,-2.9145
PFE,Healthcare,2022,8,3,Aug,2022-08,40.5819,36.4769,41.5093,36.3963,39.2708,411896600,17908547.8261,-10.7841,-0.4689,1.3556,1.3511,-24.4048,33.0,38.2413,40.36,41.12,0,23,-10.4534
PFE,Healthcare,2022,9,3,Sep,2022-09,36.4043,35.2914,38.9931,35.0978,36.647,376670300,17936680.9524,-3.0764,-0.1465,1.4213,1.5556,-26.8617,20.06,36.4881,38.41,40.64,0,21,-3.2501
PFE,Healthcare,2022,10,4,Oct,2022-10,35.5414,37.5414,38.3237,33.4284,35.5345,466825100,22229766.6667,6.5276,0.3108,1.678,1.4589,-30.2211,74.04,46.4843,36.39,39.6,0,21,6.3757
PFE,Healthcare,2022,11,4,Nov,2022-11,38.7108,40.7751,40.7751,37.546,39.1639,419484600,19975457.1429,8.4692,0.4033,1.6943,1.7448,-21.4981,75.41,66.8562,37.06,39.33,0,21,8.6137
PFE,Healthcare,2022,12,4,Dec,2022-12,40.9215,41.678,44.6794,40.0024,41.9553,423156900,20150328.5714,2.4546,0.1169,1.4155,1.5097,-16.2051,47.04,63.8671,39.95,39.67,1,21,2.2142
PFE,Healthcare,2023,1,1,Jan,2023-01,41.4909,36.249,41.9708,35.0505,37.9959,522769000,26138450.0,-13.6275,-0.6814,1.6036,1.7148,-19.3285,24.99,23.9255,39.99,39.26,1,20,-13.0261
PFE,Healthcare,2023,2,1,Feb,2023-02,36.0437,33.3021,36.4952,32.9081,35.3655,403988700,21262563.1579,-8.3879,-0.4415,1.0953,1.364,-24.8487,23.13,34.2532,37.87,38.88,0,19,-8.1295
PFE,Healthcare,2023,3,1,Mar,2023-03,33.2939,33.4909,33.8685,32.2022,33.0687,504067700,21915986.9565,0.6735,0.0293,1.0254,0.9903,-27.0345,62.11,36.9135,34.46,37.91,0,23,0.5669
PFE,Healthcare,2023,4,2,Apr,2023-04,33.4006,31.9231,34.6565,31.447,33.2827,387645900,20402415.7895,-4.7035,-0.2476,0.9568,0.9792,-28.4423,17.73,49.6189,33.39,37.2,0,19,-4.6814
