sector,year,month,quarter,year_month,avg_close,avg_daily_return,avg_volatility,avg_rsi,max_drawdown,total_volume,ticker_count,avg_ma50,avg_ma200
Financials,2024,9,3,2024-09,238.3544,-0.1775,1.569,48.0887,-11.8469,1040408300,3,238.2555,210.0703
Financials,2024,10,4,2024-10,249.789,0.2334,1.4453,65.5465,-10.5468,943056500,3,241.3607,217.1741
Financials,2024,11,4,2024-11,281.202,0.715,2.2358,66.6587,-5.7343,1014337500,3,251.8108,225.5937
Financials,2024,12,4,2024-12,281.9155,-0.2608,1.896,41.9471,-9.1352,872406900,3,270.4622,235.3368
Financials,2025,1,1,2025-01,295.5953,0.4732,1.3379,65.9195,-7.5252,1002483800,3,282.8983,244.0302
Financials,2025,2,1,2025-02,310.8882,-0.055,1.3106,55.5026,-9.5494,854449700,3,293.627,254.1523
Financials,2025,3,1,2025-03,274.8227,-0.4521,1.8707,36.1824,-21.5382,1264970000,3,296.7989,261.2563
Financials,2025,4,2,2025-04,257.1596,0.0075,3.1179,47.1563,-30.8957,1721309500,3,282.9668,265.5614
Financials,2025,5,2,2025-05,291.7006,0.4466,2.6126,77.6435,-17.8679,1036432000,3,270.6641,269.8527
Financials,2025,6,2,2025-06,312.5787,0.5628,1.2433,64.5252,-10.0421,992758600,3,282.7048,276.2422
Financials,2025,7,3,2025-07,345.4321,0.0785,1.1739,64.4489,-5.9268,1153003000,3,312.0582,286.0629
Financials,2025,8,3,2025-08,352.2859,0.2041,1.2551,54.6552,-8.1954,911970200,3,335.7917,296.8556
Financials,2025,9,3,2025-09,375.0197,0.2183,1.2157,68.7865,-3.5909,974050500,3,353.6278,306.0794
Financials,2025,10,4,2025-10,373.1447,0.037,1.2232,45.1172,-7.6545,1001371600,3,367.2788,316.3607
Financials,2025,11,4,2025-11,381.2905,0.1076,1.4817,55.7767,-7.7798,899979700,3,376.3007,325.1454
Financials,2025,12,4,2025-12,413.2437,0.1995,1.4166,64.9217,-6.2108,1056280000,3,384.3815,334.3358
Financials,2026,1,1,2026-01,433.9573,-0.0158,1.4988,47.9697,-11.0248,1085715600,3,406.6757,350.3778
